depto,mupio,sector,hhid,upm2,agreg3
guatemala,13.0,19.0,304.0,1131019.0,8707.2724609375
guatemala,15.0,15.0,305.0,1151015.0,72186.046875
guatemala,15.0,15.0,306.0,1151015.0,29591.228515625
guatemala,15.0,15.0,307.0,1151015.0,65935.90625
guatemala,15.0,21.0,308.0,1151021.0,29274.103515625
guatemala,15.0,21.0,309.0,1151021.0,21403.2578125
guatemala,15.0,21.0,310.0,1151021.0,17701.697265625
guatemala,16.0,10.0,311.0,1161010.0,12510.587890625
guatemala,16.0,10.0,312.0,1161010.0,4374.93212890625
guatemala,16.0,10.0,313.0,1161010.0,13108.5537109375
guatemala,16.0,10.0,314.0,1161010.0,28820.14453125
guatemala,16.0,10.0,315.0,1161010.0,9161.71875
guatemala,16.0,10.0,316.0,1161010.0,12478.54296875
guatemala,16.0,10.0,317.0,1161010.0,15592.1025390625
guatemala,16.0,10.0,318.0,1161010.0,8730.2646484375
guatemala,16.0,10.0,319.0,1161010.0,7301.04150390625
guatemala,16.0,10.0,320.0,1161010.0,4226.56103515625
guatemala,16.0,10.0,321.0,1161010.0,4306.24853515625
guatemala,16.0,17.0,322.0,1161017.0,44066.109375
guatemala,16.0,17.0,323.0,1161017.0,28277.142578125
guatemala,16.0,17.0,324.0,1161017.0,67026.2890625
guatemala,16.0,17.0,325.0,1161017.0,22422.97265625
guatemala,16.0,17.0,326.0,1161017.0,48122.43359375
guatemala,17.0,9.0,327.0,1171009.0,11683.6513671875
guatemala,17.0,9.0,328.0,1171009.0,41013.58984375
guatemala,17.0,9.0,329.0,1171009.0,28115.939453125
guatemala,17.0,9.0,330.0,1171009.0,40335.01953125
guatemala,17.0,9.0,331.0,1171009.0,18381.09375
guatemala,17.0,9.0,332.0,1171009.0,34167.61328125
guatemala,17.0,9.0,333.0,1171009.0,23220.71875
guatemala,17.0,9.0,334.0,1171009.0,19879.916015625
guatemala,18.0,56.0,335.0,1181056.0,19580.818359375
guatemala,18.0,56.0,336.0,1181056.0,9270.2197265625
guatemala,18.0,56.0,337.0,1181056.0,4000.809326171875
guatemala,18.0,56.0,338.0,1181056.0,10484.3427734375
guatemala,18.0,56.0,339.0,1181056.0,8270.2890625
guatemala,18.0,56.0,340.0,1181056.0,9014.3857421875
guatemala,18.0,56.0,341.0,1181056.0,8207.357421875
guatemala,18.0,56.0,342.0,1181056.0,5912.0146484375
guatemala,18.0,56.0,343.0,1181056.0,14468.6298828125
guatemala,18.0,56.0,344.0,1181056.0,10946.0849609375
guatemala,18.0,56.0,345.0,1181056.0,11505.21875
guatemala,18.0,56.0,346.0,1181056.0,10114.4775390625
guatemala,18.0,56.0,347.0,1181056.0,9987.0537109375
guatemala,18.0,71.0,348.0,1181071.0,9330.9697265625
guatemala,18.0,71.0,349.0,1181071.0,6312.75390625
guatemala,18.0,71.0,350.0,1181071.0,6344.56494140625
guatemala,18.0,71.0,351.0,1181071.0,19093.48828125
guatemala,18.0,71.0,352.0,1181071.0,5422.20166015625
guatemala,18.0,71.0,353.0,1181071.0,6601.45703125
guatemala,18.0,71.0,354.0,1181071.0,8068.8271484375
guatemala,18.0,71.0,355.0,1181071.0,11473.2724609375
guatemala,18.0,71.0,356.0,1181071.0,4816.78857421875
guatemala,18.0,71.0,357.0,1181071.0,7324.4609375
guatemala,18.0,71.0,358.0,1181071.0,4918.958984375
guatemala,18.0,71.0,359.0,1181071.0,17205.59765625
guatemala,18.0,76.0,360.0,1181076.0,11981.1337890625
guatemala,18.0,76.0,361.0,1181076.0,7713.73583984375
guatemala,18.0,76.0,362.0,1181076.0,3728.279052734375
guatemala,18.0,76.0,363.0,1181076.0,9580.7568359375
guatemala,18.0,76.0,364.0,1181076.0,8784.955078125
guatemala,18.0,76.0,365.0,1181076.0,11471.0078125
guatemala,18.0,76.0,366.0,1181076.0,11099.3759765625
guatemala,18.0,76.0,367.0,1181076.0,16737.037109375
guatemala,18.0,76.0,368.0,1181076.0,8991.884765625
guatemala,18.0,76.0,369.0,1181076.0,16646.408203125
guatemala,18.0,76.0,370.0,1181076.0,24492.751953125
guatemala,18.0,76.0,371.0,1181076.0,10312.6982421875
guatemala,18.0,76.0,372.0,1181076.0,8813.4423828125
guatemala,18.0,76.0,373.0,1181076.0,7876.70751953125
guatemala,18.0,76.0,374.0,1181076.0,16873.326171875
guatemala,18.0,106.0,375.0,1181106.0,7737.06689453125
guatemala,18.0,106.0,376.0,1181106.0,8780.7041015625
guatemala,18.0,106.0,377.0,1181106.0,13255.98828125
guatemala,18.0,106.0,378.0,1181106.0,13773.705078125
guatemala,18.0,106.0,379.0,1181106.0,21992.224609375
guatemala,18.0,106.0,380.0,1181106.0,10238.03515625
guatemala,18.0,106.0,381.0,1181106.0,11763.2421875
guatemala,18.0,106.0,382.0,1181106.0,12846.8076171875
guatemala,18.0,106.0,383.0,1181106.0,14575.138671875
guatemala,18.0,106.0,384.0,1181106.0,6251.54443359375
guatemala,18.0,106.0,385.0,1181106.0,10574.9462890625
guatemala,18.0,106.0,386.0,1181106.0,5712.95947265625
guatemala,18.0,106.0,387.0,1181106.0,11668.8623046875
