depto,mupio,sector,c02b01,c02b02a,c02b02b
1,29,356,SI,2,Cuadras
1,29,356,SI,2,Cuadras
1,29,356,SI,2,Cuadras
1,29,356,NO,12,Kilometr
1,29,356,NO,12,Kilometr
1,29,356,NO,12,Kilometr
1,29,356,NO,12,Kilometr
1,29,356,NO,12,Kilometr
1,29,356,NO,12,Kilometr
1,29,356,NO,12,Kilometr
1,29,356,NO,12,Kilometr
1,29,356,NO,12,Kilometr
1,29,356,NO,12,Kilometr
1,29,356,SI,24,Kilometr
1,29,371,SI,,
1,29,371,SI,,
1,29,371,SI,,
1,29,371,NO,7,Kilometr
1,29,371,NO,15,Kilometr
1,29,371,NO,5,Kilometr
1,29,371,SI,,
1,29,371,,,
1,29,371,,,
1,29,371,SI,,
1,29,371,SI,,
1,29,371,NO,5,Kilometr
1,29,371,SI,,
1,29,371,NO,3,Kilometr
1,29,371,,,
1,29,371,NO,7,Kilometr
1,29,371,NO,15,Kilometr
1,29,371,NO,3,Kilometr
1,29,371,SI,,
1,29,371,,,
1,29,371,SI,,
1,29,371,NO,7,Kilometr
1,29,371,SI,,
1,29,371,SI,,
1,29,371,,15,Kilometr
1,29,380,SI,5,Cuadras
1,29,380,SI,5,Cuadras
1,29,380,SI,5,Cuadras
1,29,380,NO,NS / NR,NS / NR
1,29,380,NO,NS / NR,NS / NR
1,29,380,SI,,
1,29,380,SI,800,Metros
1,29,380,NO,NS / NR,NS / NR
1,29,380,NO,NS / NR,NS / NR
1,29,380,NO,NS / NR,NS / NR
1,29,380,SI,10,Metros
1,29,380,NO,NS / NR,NS / NR
1,29,380,SI,5,Metros
1,29,380,NO,NS / NR,NS / NR
1,29,380,SI,200,Metros
1,29,380,NO,NS / NR,NS / NR
1,29,380,NO,NS / NR,NS / NR
1,29,380,NO,NS / NR,NS / NR
1,29,380,SI,15,Metros
1,29,380,NO,NS / NR,NS / NR
1,29,380,SI,25,Metros
1,29,380,NO,NS / NR,NS / NR
1,29,380,NO,NS / NR,NS / NR
1,29,380,NO,NS / NR,NS / NR
1,29,380,,,
1,31,21,SI,,
1,31,21,SI,,
1,31,21,NO,4,Kilometr
1,31,21,SI,,
1,31,21,NO,4,Kilometr
1,31,21,NO,4,Kilometr
1,31,21,NO,4,Kilometr
1,31,21,NO,4,Kilometr
1,31,21,SI,,
1,31,21,SI,,
1,31,21,NO,4,Kilometr
1,31,21,NO,4,Kilometr
1,31,21,NO,4,Kilometr
1,31,21,NO,4,Kilometr
1,31,21,NO,4,Kilometr
1,31,21,NO,4,Kilometr
1,31,21,NO,4,Kilometr
1,31,21,NO,4,Kilometr
1,31,21,SI,,
1,31,21,NO,4,Kilometr
1,31,21,NO,30,Kilometr
1,31,21,NO,4,Kilometr
1,31,21,NO,4,Kilometr
1,31,21,SI,,
1,31,21,,400,Metros
1,31,58,SI,,
1,31,58,SI,,
1,31,58,NO,5,Kilometr
1,31,58,NO,8,Kilometr
1,31,58,NO,20,Kilometr
1,31,58,NO,3,Kilometr
1,31,58,NO,4,Kilometr
1,31,58,SI,,
1,31,58,SI,,
1,31,58,NO,2,Kilometr
1,31,58,NO,2,Kilometr
1,31,58,NO,20,Kilometr
1,31,58,SI,,
1,31,58,NO,2,Kilometr
1,31,58,NO,20,Kilometr
1,31,58,NO,5,Kilometr
1,31,58,NO,2,Kilometr
1,31,58,NO,5,Kilometr
1,31,58,SI,,
1,31,58,NO,5,Kilometr
1,31,58,NO,5,Kilometr
1,31,58,NO,18,Kilometr
1,31,58,SI,,
1,31,58,SI,,
1,31,58,,NS / NR,NS / NR
1,31,100,NO,1,Kilometr
1,31,100,NO,1,Kilometr
1,31,100,NO,1,Kilometr
