depto,mupio,sector,hhid,upm2,agreg3,consumption_per_capita_per_day
escuintla,1,120,1933,5012120.0,4729.44287109375,8.91260987033616
escuintla,1,120,1934,5012120.0,4313.22021484375,8.128240494183112
escuintla,1,120,1935,5012120.0,2662.316162109375,5.0171206104206565
escuintla,1,120,1936,5012120.0,2851.51025390625,5.373655867514936
escuintla,1,120,1937,5012120.0,3523.5234375,6.640061128418012
escuintla,1,120,1938,5012120.0,4534.04248046875,8.544378876196005
escuintla,1,120,1939,5012120.0,2734.974853515625,5.154045526915798
escuintla,2,1,1940,5021001.0,10819.3251953125,20.388960635403226
escuintla,2,1,1941,5021001.0,9028.982421875,17.015069226047036
escuintla,2,1,1942,5021001.0,29663.39453125,55.900508811041675
escuintla,2,1,1943,5021001.0,6731.2568359375,12.685017612205574
escuintla,2,1,1944,5021001.0,4229.70849609375,7.9708631055335575
escuintla,2,1,1945,5021001.0,12637.6064453125,23.81550195485665
escuintla,2,1,1946,5021001.0,9470.12890625,17.846407423392773
escuintla,2,1,1947,5021001.0,11558.1162109375,21.781208364669546
escuintla,2,1,1948,5021001.0,3344.7734375,6.3032077066207535
escuintla,2,21,1949,5021021.0,8379.0625,15.790298599038355
escuintla,2,21,1950,5021021.0,5017.25732421875,9.45499467245008
escuintla,2,21,1951,5021021.0,1818.12646484375,3.426249627651879
escuintla,2,21,1952,5021021.0,4708.98779296875,8.874062384688402
escuintla,2,21,1953,5021021.0,3821.612548828125,7.201808469125053
escuintla,2,21,1954,5021021.0,9255.982421875,17.442849515546214
escuintla,2,21,1955,5021021.0,2901.289794921875,5.467465147104364
escuintla,2,21,1956,5021021.0,1751.0299072265625,3.2998065226215765
escuintla,2,21,1957,5021021.0,3331.297119140625,6.277811656536363
escuintla,2,21,1958,5021021.0,4641.591796875,8.747054989445804
escuintla,2,21,1959,5021021.0,2020.710693359375,3.8080185259883623
escuintla,2,23,1960,5021023.0,15021.6171875,28.30815748552678
escuintla,2,23,1961,5021023.0,8344.583984375,15.725324020203269
escuintla,2,23,1962,5021023.0,7391.38525390625,13.929026095665073
escuintla,2,23,1963,5021023.0,2107.96728515625,3.972453107924833
escuintla,2,23,1964,5021023.0,8578.5078125,16.166152226881984
escuintla,2,23,1965,5021023.0,4592.888671875,8.655274210097723
escuintla,2,23,1966,5021023.0,3993.557373046875,7.525837573451847
escuintla,2,23,1967,5021023.0,27119.4375,51.106435351563285
escuintla,2,23,1968,5021023.0,2453.24658203125,4.623130101648446
escuintla,2,23,1969,5021023.0,4991.07080078125,9.40564630867444
escuintla,2,23,1970,5021023.0,4655.3642578125,8.77300911863946
escuintla,2,23,1971,5021023.0,3951.579833984375,7.446731124938106
escuintla,2,43,1972,5022043.0,5010.4599609375,9.442185077594203
escuintla,2,43,1973,5022043.0,4215.15966796875,7.943445916515115
escuintla,2,43,1974,5022043.0,3711.129638671875,6.99360401409707
escuintla,2,43,1975,5022043.0,3550.831298828125,6.691522647468888
escuintla,2,43,1976,5022043.0,5695.92041015625,10.733931638858667
escuintla,2,43,1977,5022043.0,6007.54736328125,11.321190970239986
escuintla,2,43,1978,5022043.0,3599.562744140625,6.783356796294856
escuintla,2,43,1979,5022043.0,4504.853515625,8.489372427601113
escuintla,2,49,1980,5022049.0,3884.712646484375,7.320720266670503
escuintla,2,49,1981,5022049.0,2298.8701171875,4.332208476878758
escuintla,2,49,1982,5022049.0,3614.605712890625,6.811705190686055
escuintla,2,49,1983,5022049.0,5848.73486328125,11.021909660873959
escuintla,2,49,1984,5022049.0,3417.097412109375,6.439501851097095
escuintla,2,49,1985,5022049.0,3922.897705078125,7.3926798059646766
escuintla,2,49,1986,5022049.0,6573.2861328125,12.387322664561514
escuintla,2,49,1987,5022049.0,651.2486572265625,1.2272746216930832
escuintla,2,49,1988,5022049.0,3449.658935546875,6.500863868377396
escuintla,2,49,1989,5022049.0,2113.909423828125,3.983651036564916
escuintla,2,55,1990,5022055.0,5079.599609375,9.572478376380394
escuintla,2,55,1991,5022055.0,4527.90625,8.532815182599727
escuintla,2,55,1992,5022055.0,3543.040771484375,6.676841440233379
escuintla,2,55,1993,5022055.0,4500.73876953125,8.481618210529748
escuintla,2,55,1994,5022055.0,5554.67529296875,10.467755968722923
escuintla,2,55,1995,5022055.0,3888.886474609375,7.328585823514699
escuintla,2,55,1996,5022055.0,3845.496826171875,7.246818262413988
escuintla,2,55,1997,5022055.0,5924.5751953125,11.164830362160487
escuintla,2,55,1998,5022055.0,2739.057373046875,5.161739013201984
escuintla,2,55,1999,5022055.0,1887.83251953125,3.5576103159957744
escuintla,2,55,2000,5022055.0,3448.358154296875,6.498412553048319
escuintla,2,62,2001,5022062.0,4255.95458984375,8.02032372924544
escuintla,2,62,2002,5022062.0,1445.067138671875,2.7232213168581656
escuintla,2,62,2003,5022062.0,6210.99365234375,11.704584417080028
escuintla,2,62,2004,5022062.0,10415.5087890625,19.627970771217576
escuintla,2,62,2005,5022062.0,3459.72314453125,6.51982981654002
escuintla,2,62,2006,5022062.0,5471.12939453125,10.310314168634541
escuintla,2,62,2007,5022062.0,2827.59326171875,5.32858442327741
escuintla,2,62,2008,5022062.0,2707.65185546875,5.102555482799156
escuintla,2,62,2009,5022062.0,1408.9503173828125,2.6551593597355874
escuintla,2,63,2010,5022063.0,3935.102294921875,7.415679290442994
escuintla,2,63,2011,5022063.0,4105.8310546875,7.737416727792663
escuintla,2,63,2012,5022063.0,14263.0869140625,26.878711230174428
escuintla,2,63,2013,5022063.0,3075.31884765625,5.79542196895449
escuintla,2,63,2014,5022063.0,4296.51123046875,8.0967525022308
escuintla,2,63,2015,5022063.0,6918.4453125,13.03777329808582
escuintla,2,63,2016,5022063.0,3906.159912109375,7.361137524371068
escuintla,2,63,2017,5022063.0,3581.5869140625,6.749481440370591
escuintla,2,63,2018,5022063.0,3533.938720703125,6.659688674073735
escuintla,2,63,2019,5022063.0,6506.72998046875,12.261897950387239
escuintla,2,63,2020,5022063.0,4263.77685546875,8.035064747102718
escuintla,3,12,2021,5032012.0,25103.07421875,47.30660950051202
escuintla,3,12,2022,5032012.0,45145.37109375,85.07621108384228
escuintla,3,12,2023,5032012.0,15153.8994140625,28.557442636075248
escuintla,3,12,2024,5032012.0,15013.4287109375,28.29272634511064
escuintla,3,12,2025,5032012.0,31426.119140625,59.22235393749878
escuintla,3,12,2026,5032012.0,35010.76953125,65.9776084831151
escuintla,3,13,2027,5032013.0,5095.146484375,9.601776379412586
escuintla,3,13,2028,5032013.0,11654.3427734375,21.962546808562763
escuintla,3,13,2029,5032013.0,3212.310791015625,6.05358255569162
escuintla,3,13,2030,5032013.0,5253.35986328125,9.899928648272317
escuintla,3,13,2031,5032013.0,4569.5703125,8.611330886203081
escuintla,3,13,2032,5032013.0,2382.22998046875,4.489299694707238
escuintla,3,13,2033,5032013.0,3080.7431640625,5.805644064296344
escuintla,3,13,2034,5032013.0,4857.51513671875,9.153961371947958
escuintla,3,13,2035,5032013.0,3206.592041015625,6.042805601812441
escuintla,5,31,2036,5052031.0,4096.626953125,7.720071647479948
escuintla,5,31,2037,5052031.0,3301.089111328125,6.2208848269010115
escuintla,5,31,2038,5052031.0,3207.63916015625,6.04477889224908
escuintla,5,31,2039,5052031.0,2854.107666015625,5.378550676784085
escuintla,5,31,2040,5052031.0,7252.20361328125,13.666739036107659
escuintla,5,31,2041,5052031.0,4532.47802734375,8.54143067262455
escuintla,5,31,2042,5052031.0,3559.469482421875,6.707801258387309
escuintla,5,31,2043,5052031.0,5951.880859375,11.21628774047601
escuintla,5,33,2044,5052033.0,4138.51708984375,7.799013386742974
escuintla,5,33,2045,5052033.0,2865.461181640625,5.39994631643561
